1147 3
2 2.70588 1
1.04762 0.814815 1
0.481481 0.541667 1
0.625 0.5 1
0.961538 1.13636 1
3.25 3.3913 1
1.70588 2.23077 1
0.555556 0.5 1
0.380952 0.380952 1
1.55556 1.07692 1
0.8125 0.65 1
2.47619 2.16667 1
1 1.06667 1
1.6 2 1
1.15 1.04545 1
4.875 3.3913 1
6 6.66667 1
3.66667 3.08 1
1.28571 1.5 1
2.08696 2.4 1
0.842105 0.941176 1
0.0625 0.0666667 1
0.428571 0.461538 1
1.93103 1.93103 1
0.5 0.7 1
0.8125 0.764706 1
0.703704 1 1
0.285714 0.333333 1
0.235294 0.285714 1
0.714286 0.714286 1
0.521739 0.545455 1
0.583333 0.583333 1
0.235294 0.210526 1
0.736842 0.875 1
0.178571 0.185185 1
4.125 3.3 1
5.35294 4.78947 1
1.23529 1.23529 1
1.375 1.22222 1
1.62963 2 1
2.88 4 1
2.27273 1.72414 1
0.965517 1.33333 1
3.19048 2.79167 1
1.16 1.38095 1
4.82609 4.82609 1
0.9375 1.36364 1
2.54167 2.34615 1
2.47619 2 1
0.555556 0.666667 1
0.684211 0.684211 1
0.733333 1 1
1.31579 1.19048 1
0.153846 0.153846 1
0.73913 1.0625 1
1.42857 1.76471 1
0.96 0.923077 1
0.25 0.25 1
3.03846 3.16 1
0.222222 0.307692 1
1.60714 1.73077 1
0.0666667 0.0833333 1
1.83333 1.29412 1
0.0833333 0.1 1
1.53846 1.81818 1
0.214286 0.25 1
3.07692 3.80952 1
0.269231 0.368421 1
1.95238 2.15789 1
0.5 0.615385 1
3.28571 3.28571 1
0.4 0.545455 1
1.48 1.85 1
2.5 2.89474 1
0.0666667 0.0909091 1
1.55556 1.12 1
4.37931 5.08 1
2.95455 3.09524 1
3.36842 2.90909 1
1.875 1.42857 1
4.875 4.10526 1
1.13636 1.47059 1
2.66667 2.18182 1
2.59091 2.28 1
1.1 1.46667 1
3.22222 2.9 1
0.947368 0.857143 1
2.11538 2.29167 1
3.05556 3.05556 1
0.761905 0.888889 1
0.909091 0.714286 1
1.23077 1.06667 1
0.363636 0.307692 1
3 2.57143 1
1.47368 1.33333 1
1 0.833333 1
2 1.85185 1
0.235294 0.210526 1
0.947368 0.947368 1
1.36 1.21429 1
2.42105 2.55556 1
0.761905 0.8 1
3.14286 3.3 1
4.90909 4.69565 1
0.6 0.5 1
1.85714 2.36364 1
4.2 3.23077 1
3.07692 3.07692 1
2.16 2.34783 1
0.64 0.888889 1
0.5625 0.529412 1
2.15 1.65385 1
0.571429 0.470588 1
0.464286 0.590909 1
0.347826 0.444444 1
2.41667 2.41667 1
3.20833 3.34783 1
3.56 3.2963 1
1.26923 1.73684 1
1.25 1.15385 1
2.96154 2.85185 1
0.736842 0.777778 1
1.16667 1.10526 1
0.75 0.72 1
0.428571 0.6 1
0.941176 1 1
1.27273 1.75 1
1.625 1.625 1
0.153846 0.153846 1
0.157895 0.176471 1
0.75 0.529412 1
0.1 0.111111 1
0.5 0.571429 1
2.15789 1.78261 1
0.833333 1.07143 1
0.631579 0.857143 1
3.10345 3.10345 1
1.15 1.04545 1
0.966667 1.07407 1
0.611111 0.578947 1
1.38462 1.125 1
0.653846 0.73913 1
0.444444 0.470588 1
0.423077 0.44 1
2.25926 2.65217 1
0.461538 0.428571 1
3.18519 3.07143 1
0.962963 0.83871 1
3.85185 4.33333 1
3.14815 3.69565 1
0.6875 0.578947 1
1.03448 1.36364 1
0.25 0.2 1
3.23529 4.23077 1
0.642857 0.5625 1
6.88 7.47826 1
0.869565 0.8 1
2.1875 1.52174 1
0.823529 0.666667 1
0.272727 0.25 1
1.78947 1.61905 1
3.38889 3.58824 1
2.25 2 1
0.153846 0.181818 1
3.7619 3.7619 1
3.21429 3.46154 1
0.0909091 0.1 1
4.44444 4.61538 1
1 0.791667 1
1.77778 1.28 1
0.631579 0.705882 1
1.5 1.65 1
1.28571 1.8 1
0.153846 0.181818 1
5.11111 5.52 1
0.0769231 0.0769231 1
1.35294 1 1
1.55 1.34783 1
0.111111 0.111111 1
3 3.78947 1
1 0.625 1
5.125 4.73077 1
1.31034 1.35714 1
2.09091 2.19048 1
0.190476 0.2 1
1.44 1.63636 1
0.666667 0.588235 1
0.333333 0.363636 1
1.4 1.3125 1
2.3913 2.2 1
0.958333 1.35294 1
0.230769 0.214286 1
4.125 4.125 1
5.7037 5.31034 1
0.318182 0.25 1
1.48 1.42308 1
1 1.0625 1
2.3 3.28571 1
1.75 1.75 1
1.34783 1.47619 1
0.153846 0.133333 1
0.555556 0.681818 1
1.35714 1.52 1
2.82609 2.6 1
3.95833 3.39286 1
4.875 3.71429 1
0.833333 0.681818 1
7.5 7.24138 1
3.41176 2.41667 1
4 4.6 1
0.789474 1.15385 1
1.41667 1.30769 1
0.5 0.625 1
0.105263 0.133333 1
1.375 1.73684 1
1.4 1.3125 1
0.8 0.923077 1
1.19231 1.29167 1
2.15385 1.64706 1
0.45 0.6 1
2.42857 1.96154 1
4.77273 4.03846 1
2.70833 2.6 1
1.6 1.5 1
1.72222 1.9375 1
2.32 2.14815 1
1 0.714286 1
5.66667 7.28571 1
0.1 0.0833333 1
1.2381 1 1
2 1.65217 1
0.272727 0.333333 1
2.53846 2.53846 1
0.857143 0.666667 1
0.375 0.6 1
4.33333 5.6875 1
1.7 1.36 1
0.769231 0.769231 1
0.913043 1.23529 1
8.25 9.24 1
1.15 0.92 1
0.384615 0.384615 1
2.125 1.41667 1
1.4 1.33333 1
2 2.27273 1
2.91667 2.5 1
1.24 1.82353 1
2.75 2.35714 1
5.95652 5.48 1
3.05 2.77273 1
1.53846 1.53846 1
0.714286 0.833333 1
0.1 0.0909091 1
3.91667 3.35714 1
0.85 1.21429 1
5.91304 5.91304 1
0.764706 0.764706 1
0.6 0.75 1
3.46154 3.46154 1
1.27778 1.53333 1
1.07143 1.07143 1
0.25 0.235294 1
0.842105 0.761905 1
1.69565 1.85714 1
3.85714 3.24 1
0.333333 0.4375 1
1.125 1.125 1
0.333333 0.5 1
3.21429 1.95652 1
0.642857 0.529412 1
0.4 0.266667 1
4.64706 3.43478 1
3.23529 3.23529 1
1.29167 1.63158 1
4.10526 3.54545 1
2.43478 3.11111 1
0.375 0.428571 1
0.6 0.5625 1
2.5 2.4 1
0.961538 1.25 1
2 1.55556 1
2 2.57143 1
0.766667 0.884615 1
0.5 0.647059 1
1.21429 1.13333 1
0.6 0.705882 1
2.92 3.17391 1
1.10526 1.61538 1
0.633333 0.76 1
0.133333 0.181818 1
1.09091 0.857143 1
1.20833 1.61111 1
1.05882 0.72 1
0.466667 0.583333 1
0.2 0.157895 1
1.64706 1.55556 1
2.61538 3.57895 1
1 0.916667 1
1.28 1.52381 1
1.04 1.3 1
1.52632 1.8125 1
1.76923 1.76923 1
3.47368 3.88235 1
1.91304 1.57143 1
0.72 0.857143 1
1.625 1.44444 1
1 0.6875 1
0.181818 0.142857 1
0.454545 0.526316 1
8.07692 8.75 1
1.78571 1.85185 1
0.375 0.6 1
0.0714286 0.0588235 1
4.07692 5.04762 1
0.307692 0.307692 1
1.78947 1.47826 1
2.3913 2.5 1
2.14286 1.875 1
0.461538 0.4 1
0.647059 0.6875 1
1 0.807692 1
0.5 0.444444 1
4.71429 3.66667 1
0.730769 0.703704 1
0.555556 0.909091 1
0.727273 0.842105 1
2.10345 2.17857 1
2.59091 2.11111 1
0.866667 1.08333 1
3.52632 3.19048 1
2.82143 3.03846 1
0.291667 0.388889 1
0.588235 0.5 1
1.23077 1.23077 1
2.59091 2.19231 1
0.307692 0.307692 1
2.73913 2.17241 1
1.0625 1 1
0.36 0.473684 1
0.352941 0.333333 1
0.0909091 0.0909091 1
0.576923 0.681818 1
0.714286 0.625 1
1.13333 1 1
0.1 0.111111 1
0.454545 0.384615 1
6.41667 6.16 1
4.78947 4.55 1
0.466667 0.35 1
6.4 6.62069 1
0.684211 0.684211 1
3.68182 3.375 1
0.4375 0.291667 1
0.428571 0.6 1
2.71429 3.45455 1
0.823529 0.56 1
0.133333 0.133333 1
0.478261 0.578947 1
0.5625 0.428571 1
1.5 2 1
4.14815 4.14815 1
0.25 0.214286 1
1.84615 2.28571 1
0.466667 0.368421 1
0.652174 0.833333 1
5.92 5.69231 1
0.333333 0.461538 1
3.29167 4.38889 1
3.66667 3.14286 1
1.70588 1.52632 1
2.95238 2.2963 1
1.54545 1.7 1
2.09091 2.09091 1
0.3 0.214286 1
1.52632 1.8125 1
0.470588 0.363636 1
0.277778 0.277778 1
3.04 3.45455 1
2.31818 2.55 1
3.10714 3.48 1
2.26316 1.95455 1
1.47826 1.36 1
1.6875 1.58824 1
1.42857 0.909091 1
2 1.58621 1
0.222222 0.25 1
6.41667 6.16 1
2.73913 2.625 1
2.61905 2.61905 1
0.333333 0.307692 1
5.89655 7.77273 1
1.55556 2 1
0.875 1.10526 1
1.95652 2.8125 1
1.09524 1.15 1
0.666667 0.608696 1
1 1.05882 1
0.333333 0.333333 1
0.217391 0.277778 1
2 2.54545 1
0.142857 0.133333 1
0.35 0.368421 1
2.55 2.31818 1
5.19231 4.82143 1
0.470588 0.421053 1
4.05 4.05 1
0.428571 0.333333 1
1.90909 1.75 1
0.444444 0.470588 1
8.55556 8.25 1
1.43478 1.17857 1
4.66667 4.48 1
3.63158 3.13636 1
1.29412 1.22222 1
4.30769 4 1
1.3125 1.90909 1
2.77778 3.40909 1
1.68421 1.23077 1
0.0833333 0.0833333 1
1.26316 1.26316 1
0.714286 0.769231 1
5.52632 5.52632 1
1.52632 2.23077 1
0.8 0.842105 1
3.45455 2.92308 1
0.928571 1.08333 1
0.733333 0.733333 1
9.24 8.55556 1
3.8 3.04 1
0.631579 0.521739 1
0.347826 0.32 1
0.2 0.166667 1
4.48 3.86207 1
1.07143 1.07143 1
2.74194 2.83333 1
3 2.31818 1
5.04 4.84615 1
1.33333 1.10345 1
2.3125 1.94737 1
2.44828 2.73077 1
4.875 4.33333 1
2.5 2.04545 1
1.33333 1.09091 1
3.3 3.14286 1
2.55 2.68421 1
1.55 1.47619 1
1.47619 1.63158 1
8.19231 7.88889 1
2.47826 3.35294 1
0.333333 0.5 1
0.24 0.25 1
0.0666667 0.0666667 1
0.571429 0.571429 1
3.95833 3.95833 1
0.384615 0.416667 1
6.53333 7.53846 1
2.71429 2.59091 1
0.166667 0.125 1
0.333333 0.25 1
1.72727 1.31034 1
1.5 1.08 1
1.91304 1.91304 1
1.10526 1.05 1
2 1.58333 1
0.703704 0.655172 1
0.518519 0.7 1
1.4 1.66667 1
0.333333 0.352941 1
0.538462 0.636364 1
1.05556 1 1
7.09091 5.57143 1
2.30769 2.72727 1
1.53846 1.90476 1
3.05 3.05 1
0.461538 0.4 1
0.5 0.590909 1
1.4 1.47368 1
0.611111 0.578947 1
0.705882 0.666667 1
0.388889 0.333333 1
2.68182 2.68182 1
0.666667 0.666667 1
0.76 0.76 1
0.85 1 1
3.52174 3.11538 1
0.611111 0.6875 1
0.3125 0.416667 1
7.47826 6.14286 1
5.45455 5.21739 1
5.85714 4.92 1
0.357143 0.384615 1
1.11111 1 1
4.37037 4.37037 1
0.5 0.625 1
0.35 0.466667 1
5.3 5.04762 1
2.23077 2.52174 1
2.70588 2.875 1
0.904762 1 1
0.636364 0.5 1
1.75 1.75 1
0.818182 0.72 1
3.29412 3.11111 1
0.357143 0.416667 1
3.34783 2.65517 1
2.70588 2.42105 1
1.28571 1.2 1
1.375 1.375 1
0.4 0.307692 1
1.5 1.05882 1
0.965517 0.965517 1
5.92308 5.7037 1
2.6087 2.30769 1
2.47619 2.73684 1
4.79167 4.25926 1
2.88 2.66667 1
0.608696 0.538462 1
4.55 3.95652 1
0.941176 1.06667 1
2.625 2.33333 1
0.466667 0.368421 1
0.176471 0.230769 1
0.941176 0.8 1
0.571429 0.521739 1
2.59091 2.85 1
3.29167 3.16 1
0.357143 0.333333 1
1.11111 0.833333 1
0.545455 0.461538 1
8.25 9.625 1
3.7619 3.29167 1
1.23529 1.75 1
1 0.888889 1
0.666667 0.470588 1
0.357143 0.555556 1
0.565217 0.684211 1
0.4 0.380952 1
0.2 0.222222 1
0.3125 0.227273 1
0.6 0.8 1
0.434783 0.5 1
0.64 0.615385 1
0.565217 0.565217 1
0.833333 0.952381 1
0.125 0.133333 1
2.28571 2.08696 1
1.12 1 1
0.434783 0.4 1
1.95833 2.04348 1
0.375 0.25 1
0.304348 0.368421 1
0.809524 0.809524 1
0.478261 0.6875 1
0.0769231 0.0769231 1
0.466667 0.4375 1
2.375 3.35294 1
0.7 0.736842 1
1.1875 0.904762 1
2.64706 2.14286 1
1.85 1.23333 1
3.08 3.08 1
1.82143 1.64516 1
0.75 0.631579 1
0.380952 0.380952 1
0.818182 1.2 1
2.42857 2.42857 1
0.3 0.375 1
3.875 3.57692 1
2.13043 2.13043 1
0.64 0.727273 1
2 1.81818 1
2.83333 2.55 1
0.909091 0.869565 1
0.615385 0.470588 1
2.80952 2.45833 1
4.2 4.2 1
1.75 1.75 1
2.15385 2.43478 1
3 2 1
5.88462 7.65 1
5.83333 4.77273 1
0.941176 0.941176 1
1.33333 1.33333 1
2.75 3.05556 1
1.26316 1.26316 1
4.375 6.17647 1
0.454545 0.416667 1
1.23077 1.3913 1
1.6087 1.68182 1
3.52381 2.64286 1
1 0.8125 1
2.30769 2.14286 1
1.28571 1.05882 1
2.05 1.78261 1
4 5.09091 1
6.55172 7.91667 1
1.16 1.45 1
0.6 0.461538 1
0.65 0.764706 1
1.15 1 1
3.84615 3.57143 1
2.9 2.9 1
0.9375 1 1
1.36842 1.52941 1
1.52 1.40741 1
0.0666667 0.0588235 1
3.52632 4.46667 1
0.0714286 0.0833333 1
4.81818 4.81818 1
0.9 0.857143 1
0.941176 0.727273 1
0.75 0.545455 1
0 0 1
1.75 1.75 1
0.5625 0.428571 1
0.235294 0.363636 1
0.888889 1.06667 1
0.7 0.4375 1
0.761905 0.8 1
4.82143 5.625 1
0.6 0.631579 1
1 1 1
0.222222 0.210526 1
6.31579 4.8 1
0.608696 0.538462 1
1.75 2.1 1
0.0666667 0.0714286 1
2.82353 2.52632 1
2.26316 2.38889 1
1.33333 1.26316 1
0.842105 0.941176 1
4.28571 5.45455 1
0.583333 0.466667 1
0.733333 0.55 1
4.18182 3.40741 1
1 0.772727 1
2.40625 2.96154 1
2.90909 2.46154 1
2.43478 2.33333 1
0 0 1
0.888889 0.666667 1
2.33333 2.42308 1
1.06667 1.33333 1
2.04545 3 1
1.53571 1.48276 1
0.666667 0.666667 1
0.636364 0.538462 1
0.653846 0.772727 1
1.85714 1.77273 1
0.823529 0.823529 1
1.05882 0.818182 1
0.769231 0.833333 1
2.15385 1.75 1
2.61905 2.61905 1
0.4 0.333333 1
0.461538 0.3 1
0.666667 0.8 1
1.68966 2.33333 1
0.142857 0.117647 1
2.53846 3.47368 1
0.363636 0.285714 1
1.65 1.65 1
1.47059 1.31579 1
2.61905 2.3913 1
4.66667 5.38462 1
0.727273 0.761905 1
0.466667 0.583333 1
1.83333 1.91304 1
0.555556 0.454545 1
0.318182 0.4375 1
3.65217 3.65217 1
2.11111 2 1
4.13636 4.13636 1
0.4375 0.388889 1
3.19048 3.72222 1
0.64 0.842105 1
4.15385 4.15385 1
1.22222 1.26923 1
0.157895 0.214286 1
4.875 3.9 1
2.41667 2.9 1
0.4 0.352941 1
0.375 0.3 1
1.27778 1 1
0.869565 0.714286 1
3.30435 3.45455 1
1.86364 1.64 1
3.69565 2.93103 1
0.428571 0.391304 1
0.857143 1 1
3.17391 3.04167 1
1.06667 1.06667 1
0.157895 0.214286 1
5.21429 5.61538 1
0.954545 1.16667 1
2.52632 2.52632 1
1.76923 1.76923 1
5.28571 5.48148 1
5.3 5.04762 1
0.25 0.230769 1
0.25 0.181818 1
1.07143 1.25 1
7.03704 7.03704 1
0.769231 0.909091 1
1.21739 1.21739 1
1.04348 1.33333 1
3.32143 3.72 1
10 10 1
0.611111 0.611111 1
2.51515 2.51515 1
0.705882 0.631579 1
2.47059 1.90909 1
0.277778 0.294118 1
2.04167 2.22727 1
2.44444 2.44444 1
0.9375 1.25 1
2.28571 3 1
1.2 1.5 1
0.285714 0.222222 1
1.16667 1.61538 1
3.16 4.38889 1
0.954545 0.875 1
2.47826 3.5625 1
0.304348 0.35 1
2.5 3.09524 1
1.86667 2 1
1.8 1.35 1
1 1 1
0.733333 0.647059 1
1.5 1.4 1
1.10345 1.52381 1
0.818182 0.947368 1
0.413793 0.48 1
3.73913 2.96552 1
2.4 2.82353 1
2.11765 2.11765 1
0.470588 0.615385 1
1.26316 1.2 1
0.647059 0.5 1
3.88462 3.74074 1
8.4 8.07692 1
0.166667 0.2 1
3.82609 3.82609 1
0.4375 0.368421 1
0.0833333 0.0833333 1
1.58621 1.7037 1
2.47619 1.92593 1
1.6875 2.25 1
0.181818 0.266667 1
1 1 1
1.45833 1.45833 1
0.176471 0.176471 1
1.58333 1.72727 1
0.555556 0.625 1
1.5 1.2 1
0.235294 0.333333 1
0.611111 0.916667 1
0.210526 0.285714 1
0.884615 1.04545 1
5.7037 5.92308 1
1.03704 1 1
0.25 0.277778 1
3.28571 2.19048 1
0.269231 0.25 1
1.26087 1.52632 1
0.125 0.153846 1
1.45 1 1
3.45455 3.45455 1
0.2 0.230769 1
2.63636 3.86667 1
1.38462 1.44 1
3.60714 4.3913 1
1.05882 0.75 1
3.5 3.76923 1
1.09524 0.851852 1
0.944444 0.894737 1
2.66667 3.11111 1
2 1.75 1
1.80952 2.11111 1
0.75 0.666667 1
0.263158 0.277778 1
0.333333 0.3 1
2.25 2.17241 1
1.05 0.777778 1
2.75 2.75 1
1.40909 1.40909 1
0.2 0.25 1
1.05556 0.95 1
0.230769 0.25 1
1.25 1.36364 1
0.3 0.375 1
1.7 1.78947 1
0.173913 0.222222 1
0.0833333 0.0625 1
0.5 0.466667 1
0.888889 1 1
4.90909 4.5 1
8.14286 6.33333 1
0.2 0.2 1
1.33333 1.12 1
2.45 2.72222 1
0.538462 0.538462 1
1.1875 1 1
0.583333 0.5 1
1.45455 1.33333 1
3.76 4.7 1
1.90476 1.6 1
1.6 1.26316 1
4.40909 4.21739 1
1.86667 1.75 1
3.9 3.71429 1
1.92308 1.78571 1
0.36 0.391304 1
1.5625 1.25 1
2.64706 2.5 1
2.29412 2.16667 1
2.375 1.9 1
1.96154 2.125 1
4.19231 3.89286 1
1.47059 1.66667 1
0.461538 0.375 1
1.93103 2.94737 1
4.43333 4.58621 1
0.4 0.266667 1
0.583333 0.411765 1
0.3 0.375 1
4.05 3.24 1
0.4375 0.411765 1
0.307692 0.4 1
5.44 7.15789 1
0.96 0.888889 1
4.75 5.11538 1
0.428571 0.545455 1
0.842105 0.8 1
6.12 6.12 1
0.588235 0.434783 1
1.7037 1.84 1
6.625 5.67857 1
1.13043 1.36842 1
2.1 1.82609 1
0.24 0.222222 1
5.57143 7.09091 1
1.23529 0.954545 1
1.57143 1.83333 1
2.33333 2.54545 1
0.333333 0.4 1
1.04348 1.2 1
1.12 1.12 1
0.222222 0.222222 1
1.1 1.46667 1
4.30769 4.30769 1
0.888889 1 1
3.33333 4 1
0.727273 0.941176 1
1.84615 1.92 1
2.86667 3.07143 1
1.85 1.7619 1
1.125 1.28571 1
0.142857 0.153846 1
2.44 2.44 1
1.13636 1.31579 1
1.95455 1.53571 1
1.61538 1.5 1
0.6 0.6 1
3.14286 4.4 1
1.89286 2.52381 1
0.821429 1.04545 1
1.4 1.4 1
2.41379 3.33333 1
3.27778 3.10526 1
1.47368 2 1
3.88235 3.88235 1
0.84 0.75 1
1.77273 1.85714 1
0.0588235 0.0769231 1
3.56522 2.82759 1
5.88462 6.65217 1
2 1.78947 1
2.21053 2 1
6.55172 7.91667 1
1.85714 2.05263 1
4.55 4.13636 1
1.57692 1.86364 1
1 1 1
2.13333 1.45455 1
0.454545 0.434783 1
1 0.714286 1
1.62963 1.57143 1
2.14286 2.25 1
2.8125 2.64706 1
1.86667 2.54545 1
1.19231 1.24 1
3.52632 2.68 1
0.153846 0.133333 1
0.95 1 1
0.6 0.857143 1
0.333333 0.266667 1
2.08 2.36364 1
0.125 0.1 1
1.1 1.15789 1
1.45455 1.3913 1
5.35294 3.95652 1
1.04348 1.09091 1
3.2 2.75862 1
2.46429 3 1
